|Sl No.|District|Block|Gram Panchayat|Village|Household|
1|SOUTH 24 PARAGANAS|Mathurapur - I|ABID BHAGABANPUR|Abad Bhagabanpur (79)|402|
2|SOUTH 24 PARAGANAS|Magrahat - II|UREL CHANDPUR|Abad Chandpur (202)|186|
3|SOUTH 24 PARAGANAS|Magrahat - II||Abad Chandpur (202)|186|
4|SOUTH 24 PARAGANAS|Patharpratima|DAKSHIN GANGADHARPUR|Abad Gangadharpur (109)|447|
5|SOUTH 24 PARAGANAS|Magrahat - II|UREL CHANDPUR|Abad Ishwaripur (204)|478|
6|SOUTH 24 PARAGANAS|Magrahat - II||Abad Ishwaripur (204)|478|
7|SOUTH 24 PARAGANAS|Falta|MALLICKPUR|Abad Simulganaja (15)|327|
8|BANKURA|Vishnupur|DWARIKA GOSAINPUR|Abantika (88)|266|
9|PURBA MEDINIPUR|Deshopran|AURAI|Abasberya (431)|179|
10|BIRBHUM|Suri - I|MALLICKPUR|Abdarpur (P) (97)|583|
11|SOUTH 24 PARAGANAS|Jaynagar - I|DAKSHIN BARASAT|Abdul Karimpur (58)|400|
12|SOUTH 24 PARAGANAS|Jaynagar - I||Abdul Karimpur (58)|400|
13|UTTAR DINAJPUR|Raiganj|KAMALABARI-I|Abdulghata (153)|202|
14|PURBA MEDINIPUR|Khejuri - II|NIJKASBA|Abdulla Chak (91)|50|
15|BANKURA|Indus|KARISUNDA|Abdulpur (53)|342|
16|HOOGHLY|Balagarh|SOMRA-I|Abdulpur (18)|704|
17|NADIA|Tehatta - II|BARNIA|Abhaynagar (9)|691|
18|NADIA|Karimpur - I|KARIMPUR-I|Abhaypur (5)|465|
19|HOWRAH|Uluberia - II|TULSIBERIA|Abhirampur (5)|928|
20|SOUTH 24 PARAGANAS|Bishnupur - II||Abhirampur (60)|471|
21|PURBA BARDHAMAN|Ausgram - II|ERAL|Abhirampur (98)|890|
22|HOOGHLY|Haripal|HARIPAL SAHADEB|Abhirampur (126)|135|
23|DAKSHIN DINAJPUR|Tapan|MALANCHA|Abhirampur (276)|257|
24|SOUTH 24 PARAGANAS|Bishnupur - II|PANCHANAN|Abhirampur (60)|471|
25|SOUTH 24 PARAGANAS|Budge Budge - I|NISCHINTAPUR|Abhirampur (CT) (12)|3,451|
26|NORTH 24 PARAGANAS|Barrackpur - I|PANPUR KEUTIA|Abhirampur (P) (8)|313|
27|DAKSHIN DINAJPUR|Gangarampur|BASURIA|Abidpur (8)|53|
28|HOOGHLY|Pandua|SIKHIRA-CHAMPTA|Abira (136)|270|
29|SOUTH 24 PARAGANAS|Bishnupur - I||Abjakhali (96)|504|
30|SOUTH 24 PARAGANAS|Bishnupur - I|PURBA BISHNUPUR|Abjakhali (96)|504|
31|NORTH 24 PARAGANAS|Deganga|HADIPUR JHIKRA-II|Abjan Nagar (107)|1,668|
32|DAKSHIN DINAJPUR|Kushmundi|KALIKAMORA|Abuhar (134)|275|
33|PURBA BARDHAMAN|Jamalpur|ABUJHATI-I|Abujhati (111)|1,608|
34|SOUTH 24 PARAGANAS|Falta|DEBIPUR|Achanda (100)|246|
35|HOOGHLY|Pandua|ILSOVA-DASPUR|Acharpara (142)|84|
36|MURSHIDABAD|Burwan|PANCHTHUPI|Achhoan (145)|644|
37|SOUTH 24 PARAGANAS|Patharpratima|ACHINTYANAGAR|Achintya Nagar (186)|1,312|
38|BANKURA|Bankura - I|ANCHURI|Achuri (56)|633|
39|JALPAIGURI|Mal|MOULANI|Adabari (90)|465|
40|NADIA|Nakashipara|DHARMODA|Adam Pota (106)|356|
41|NADIA|Kaliganj|JURANPUR|Adampur (49)|271|
42|MALDAH|Maldah (Old)|MUCHIA|Adampur (121)|1,118|
43|BIRBHUM|Dubrajpur|L. N. PUR|Adampur (23)|318|
44|PURBA MEDINIPUR|Khejuri - II|NIJKASBA|Adampur (110)|82|
45|PURBA MEDINIPUR|Contai - III|LAUDA|Adampur (397)|482|
46|HOOGHLY|Chanditala - II|NAITY|Adan (78)|829|
47|HOOGHLY|Tarakeswar|ASTRA DUTTAPUR|Adangachhi (58)|202|
48|NADIA|Krishnagar - I|BHIMPUR|Adapota (880)|434|
49|PURULIA|Jhalda - II|HIRAPUR ADARDIH|Adardi (218)|596|
50|PASCHIM MEDINIPUR|Sabang|SARTTA|Adasimla (334)|2,572|
51|BIRBHUM|Suri - I|MALLICKPUR|Adda (90)|510|
52|NORTH 24 PARAGANAS|Amdanga|ADHATA|Adhata (20)|2,613|
53|SOUTH 24 PARAGANAS|Canning - I|TALDI|Adhia (113)|925|
54|MALDAH|Gazole|RANIGANJ-I|Adhna (288)|233|
55|BANKURA|Saltora|GOGRA|Adhuri (143)|294|
56|DAKSHIN DINAJPUR|Gangarampur|CHALOON|Adigram (180)|106|
57|BANKURA|Indus|AKUI-I|Adilpur (87)|345|
58|MALDAH|Gazole|PANDUA|Adina (39)|554|
59|NADIA|Krishnaganj|TALDAHA MAJDIA|Adityapur (45)|926|
60|BIRBHUM|Bolpur Sriniketan|KANKALITALA|Adityapur (71)|413|
61|NORTH 24 PARAGANAS|Bongaon|GANGANANDAPUR|Adityapur (15)|507|
62|BANKURA|Indus|INDAS-II|Adparakumrul (12)|866|
63|HOOGHLY|Goghat - I|BHADWE|Adra (30)|221|
64|BANKURA|Bankura - II|BIKNA|Adra (278)|35|
65|PURBA BARDHAMAN|Galsi - II|ADRA|Adra (0)|994|
66|DAKSHIN DINAJPUR|Kushmundi|BERAIL|Adyakhanda (37)|286|
67|PASCHIM MEDINIPUR|Dantan - II|SAURI KOTEBAR|Agabar Chak (257)|161|
68|DAKSHIN DINAJPUR|Kumarganj|RAMKRISHNAPUR|Agachha (52)|274|
69|NORTH 24 PARAGANAS|Baduria|JADURHATI DAKSHIN|Agapur (55)|210|
70|UTTAR DINAJPUR|Hemtabad|BANGALBARI|Agapur (91)|155|
